text,label
"Government health department releases vaccination schedule after review by medical experts",REAL
"Scientists publish peer-reviewed climate report using 30 years of temperature data",REAL
"Election commission announces final voting dates and official counting process",REAL
"Central bank keeps interest rates unchanged after monthly policy meeting",REAL
"Local school district approves new library funding at public board meeting",REAL
"Hospital reports decline in seasonal flu cases based on weekly patient records",REAL
"Researchers at a university develop a low-cost water filter and publish lab results",REAL
"City council passes road safety plan after traffic study and public consultation",REAL
"Celebrity doctor reveals one secret fruit that cures every disease overnight",FAKE
"Aliens secretly control world leaders according to anonymous viral message",FAKE
"Miracle pill makes people lose 20 kilograms in one week without exercise",FAKE
"Government will replace all bank accounts tomorrow according to forwarded post",FAKE
"Scientists confirm drinking hot water every hour prevents all infections",FAKE
"Famous actor gives away millions to anyone who shares this article",FAKE
"Hidden cure banned by every hospital is exposed in shocking online video",FAKE
"Election results changed by invisible satellites says unverified social media post",FAKE
